ID,"Match Type [match_type] (Allowed values: exact, placeholders)",Source path [from_url],Target path [to_url],"Enabled [is_enabled] (1 = enable redirect, 0 = disable redirect [default])"
1,exact,/level-2-nvqs-for-blue-cscs-cards/,/training-course-overview,1
2,exact,/2017/09/09/cscs-cards-get-cscs-blue-skilled-worker-card/,/post/cscs-cards-how-get-cscs-blue-skilled-worker-card,1
3,exact,/2017/09/17/cscs-cards-how-to-get-a-cscs-black-managers-card/,/post/cscs-cards-how-get-cscs-black-managers-card,1
4,exact,/level-2-nvqs-for-blue-cpcs-cards/,/nvq-type,1
5,exact,/nvqs-for-cscscpcs/,/nvq-type,1
6,exact,/blue-cscs-cards-for-experienced-workers/,/course-type/cpcs-cranes-lifting,1
7,exact,/2017/10/05/cscs-cards-get-cscs-gold-supervisors-card/,/post/cscs-cards-how-get-cscs-gold-supervisors-card,1
8,exact,/npors-training/,/course-type/npors,1
9,exact,/cpcs-plant-training-courses/,/course-type/cpcs-plant-courses,1
10,exact,/blue-cscs-cpcs-cards/,/course-type/cpcs-blue-cards,1
11,exact,/2017/09/04/nvq-funding-available-can-offer/,/post/we-have-nvq-funding-available-you-here-what-we-can-offer,1
12,exact,/2017/09/17/save-lives-and-get-a-cscs-blue-card-with-an-nvq-level-2-in-passive-fire-protection/,/post/save-lives-and-get-cscs-blue-card-nvq-level-2-passive-fire-protection,1
13,exact,/2018/01/04/identify-training-needs-simple-spreadsheet/,/post/how-identify-your-training-needs-simple-spreadsheet,1
14,exact,/cpcs-blue-card-courses/,/course-type/cpcs-blue-cards,1
15,exact,/site-safety-plus-courses/,/course-type/site-safety-plus,1
16,exact,/managers-cards/,/nvq-type/managers-cards,1
17,exact,/qcf-nvqs/l3-nvq-diploma-in-occupational-work-supervision-construction/,/nvq/l3-nvq-diploma-occupational-work-supervision-construction,1
18,exact,/first-aid-courses/,/course-type/first-aid-courses,1
19,exact,/qcf-nvqs/l2-nvq-certificate-in-fitted-interiors-construction/,/nvq/l2-nvq-certificate-fitted-interiors-construction,1
20,exact,/supervisors-cards/,/nvq-type/supervisors-cards,1
21,exact,/qcf-nvqs/l2-nvq-certificate-in-plant-operations-construction-fork-­‐lift-trucks/,/nvq/l2-nvq-certificate-plant-operations-construction-forklift-trucks,1
22,exact,/qcf-nvqs/l7-nvq-diploma-in-construction-senior-management/,/nvq/l7-nvq-diploma-construction-senior-management,1
23,exact,/qcf-nvqs/l2-nvq-diploma-in-wood-occupations-construction-­‐-site-carpentry/,/nvq/level-2-nvq-diploma-wood-occupations-construction-site-carpentry,1
24,exact,/qcf-nvqs/l2-nvq-diploma-in-construction-operations-and-civil-engineering-services-construction-operations-­‐-general-building-operations/,/nvq/l2-nvq-diploma-construction-operations-and-civil-engineering-services-construction-operations-general-building-operations,1
25,exact,/citb-grant-information/,/citb-grant-information,1
26,exact,/qcf-nvqs/l2-nvq-diploma-in-plant-operations-construction-cranes-and-specialist-lifting-plant/,l2-nvq-diploma-plant-operations-construction-cranes-and-specialist-lifting-plant,1
27,exact,/cpcs-cranes-and-lifting/,/course-type/cpcs-cranes-lifting,1
28,exact,/qcf-nvqs/level-2-diploma-in-steel-erecting/,/nvq-type,1
29,exact,/qcf-nvqs/l2-nvq-diploma-in-construction-operations-and-civil-engineering-services-construction-operations-­‐-general-construction/,/nvq/l2-nvq-diploma-construction-operations-and-civil-engineering-services-construction-operations-general-construction,1
30,exact,/workplace-safety-courses/,/course-type/workplace-safety,1
31,exact,/working-heights-courses/,/course-type/working-heights,1
32,exact,/qcf-nvqs/level-3-diploma-in-moving-engineering-construction-loads/,/nvq/l3-nvq-moving-engineering-construction-loads-qcf,1
33,exact,/qcf-nvqs/l2-nvq-diploma-in-site-logistics-operations-construction-general/,/nvq/l2-nvq-diploma-site-logistics-operations-construction-general,1
34,exact,/qcf-nvqs/l2-nvq-certificate-in-plant-operations-construction-transporting-loads-­‐-plant/,/nvq/l2-nvq-certificate-plant-operations-construction-transporting-loads-plant,1
35,exact,/qcf-nvqs/l6-nvq-diploma-in-construction-contracting-operations-management-general/,/nvq/l6-diploma-construction-contracting-operations-management-general,1
36,exact,/qcf-nvqs/l2-nvq-diploma-in-applied-waterproof-membranes-construction-liquid-waterproofing-systems/,/nvq/l2-nvq-diploma-applied-waterproof-membranes-construction-liquid-waterproofing-systems,1
37,exact,/2018/02/28/tips-delivering-highly-engaging-toolbox-talk/,/nvq//post/tips-delivering-highly-engaging-toolbox-talk,1
38,exact,/qcf-nvqs/l6-nvq-diploma-in-construction-site-management-building-and-civil-engineering/,/nvq/l6-diploma-construction-site-management-building-and-civil-engineering,1
39,exact,/category/toolbox-talks/,/latest,1
40,exact,/road-street-works-act-courses/,/nvq-type/blue-cscs-cards,1
41,exact,/category/construction-nvqs/,/nvq-type,1
42,exact,/cranes-lifting-operations-cards/,/nvq-type/cranes-lifting-operations-cards,1
43,exact,/2017/12/20/type-extinguisher-use-electrical-fire-40-people-dont-know/,/post/what-type-extinguisher-would-you-use-electrical-fire-40-people-dont-know,1
44,exact,/qcf-nvqs/l2-nvq-certificate-in-interior-systems-construction-dry-lining-finishing/,/nvq/l2-nvq-certificate-interior-systems-construction-dry-lining-finishing,1
45,exact,/qcf-nvqs/l3-nvq-diploma-in-construction-plant-or-machinery-maintenance-construction/,/nvq/l3-nvq-construction-plant-or-machinery-maintenance-plant-maintenance-construction,1
46,exact,/qcf-nvqs/l3-nvq-diploma-in-trowel-occupations-construction/,/nvq/l3-nvq-diploma-trowel-occupations-construction,1
47,exact,/qcf-nvqs/l2-nvq-diploma-in-cladding-occupations-construction-specialised-cladding-and-rainscreen-systems/,/nvq/l2-nvq-diploma-cladding-occupations-construction-specialised-cladding-and-rainscreen-systems,1
48,exact,/apprenticeships-levy/,/apprenticeships/apprenticeships-levy-funding,1
49,exact,/qcf-nvqs/l2-nvq-diploma-in-decorative-finishing-and-industrial-painting-occupations-construction-painter/,/nvq/l2-nvq-diploma-decorative-finishing-and-industrial-painting-occupations-construction-painter,1
50,exact,/ipaf-courses/,/course-type/working-heights,1
51,exact,/qcf-nvqs/l2-nvq-diploma-in-construction-operations-and-civil-engineering-services-construction-operations-­‐-drainage-construction/,/nvq/l2-nvq-diploma-construction-operations-and-civil-engineering-services-highways-maintenance-construction-drainage-construction,1
52,exact,/qcf-nvqs/l2-nvq-diploma-in-plastering-construction-solid-basic/,/nvq/l2-nvq-diploma-plastering-construction-solid-basic,1
53,exact,/qcf-nvqs/l2-nvq-diploma-in-roofing-occupations-construction-­‐-roof-slater-and-tiler/,/nvq/l2-nvq-diploma-roofing-occupations-construction-roof-slater-and-tiler,1
54,exact,/qcf-nvqs/l2-nvq-diploma-in-cladding-occupations-construction-roof-sheeting-and-cladding/,/nvq/l2-nvq-diploma-cladding-occupations-construction-roof-sheeting-and-cladding,1
55,exact,/qcf-nvqs/l2-nvq-diploma-in-controlling-lifting-operations-slingersignaller-construction/,/nvq/l2-nvq-diploma-controlling-lifting-operations-slingersignaller-construction,1
56,exact,/course/vehicle-banksman-traffic-marshall/,/course/vehicle-banksman-traffic-marshall,1
57,exact,/qcf-nvqs/l2-nvq-diploma-in-innovativemodern-methods-of-construction-modularportable-building/,/nvq/l2-nvq-diploma-innovativemodern-methods-construction-modularportable-building,1
58,exact,/course/cpcs-appointed-person-lifting-operations-a61/,/course/cpcs-appointed-person-lifting-operations-a61,1
59,exact,/qcf-nvqs/l2-nvq-diploma-construction-plant-machinery-maintenance-construction/,/nvq/l2-nvq-diploma-construction-plant-or-machinery-maintenance-construction,1
60,exact,/qcf-nvqs/l2-nvq-diploma-associated-industrial-services-occupations-construction-passive-fire-protection/,/nvq/l2-nvq-diploma-associated-industrial-services-occupations-construction-passive-fire-protection,1
61,exact,/qcf-nvqs/l2-nvq-diploma-in-stonemasonry-construction-stone-fixing/,/nvq-type,1
62,exact,/qcf-nvqs/l2-nvq-diploma-in-construction-plant-or-machinery-maintenance-construction/,/nvq/l2-nvq-diploma-construction-plant-or-machinery-maintenance-construction,1
63,exact,/working-heights-courses/aluminium-scaffold-tower-courses/,/course/aluminium-scaffold-towers-users,1
